ticker,LatestQuarter,AssetType,Name,CIK,Exchange,Currency,Country,Sector,Industry,FiscalYearEnd,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Block
IBM,2022-03-31 00:00:00,Common Stock,International Business Machines,51143.0,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,December,126542455000.0,12120001000.0,23.19,1.4240000000000002,21.18,6.57,0.0467,6.09,65.03,0.0946,0.105,0.0271,0.245,58361000000.0,31486000000.0,6.09,-0.239,0.077,143.63,23.19,13.0,2.168,6.07,2.787,13.11,1.009,142.58,111.84,133.06,129.68,896320000.0,2022-06-10,2022-05-09,
A,2022-04-30,Common Stock,Agilent Technologies Inc,1090872.0,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,October,38380995000.0,1846000000.0,31.0,2.414,17.16,0.8079999999999999,0.0065,4.145,21.65,0.194,0.232,0.0908,0.254,6527000000.0,3407000000.0,4.145,0.3,0.054,173.35,31.0,24.94,5.88,7.03,5.87,21.28,1.061,178.83,112.64,125.81,145.7,298708000.0,2022-07-27,2022-07-01,
AA,2022-03-31,Common Stock,Alcoa Corp,1675149.0,NYSE,USD,USA,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,December,11404482000.0,3286000000.0,16.25,-0.29,24.82,0.2,0.0065,3.804,67.79,0.0575,0.21,0.107,0.162,12575000000.0,3053000000.0,3.804,1.6769999999999998,0.147,89.95,16.25,5.13,0.907,2.44,0.902,4.593,2.341,97.92,30.84,72.75,60.93,184449000.0,2022-06-03,2022-05-16,
AAC,2022-03-31,Common Stock,Ares Acquisition Corp,1829432.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,1226250000.0,,98.1,,0.04,0.0,0.0,0.1,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0,0.1,-0.163,0.0,,98.1,-,-,1.29,-,-,,9.87,9.66,9.81,9.78,100000000.0,,,
AAC-U,0000-00-00,Common Stock,AAC-U,1829432.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAC-WS,0000-00-00,Common Stock,AAC-WS,1829432.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AACG,2022-03-31,Common Stock,ATA Inc,1420529.0,NASDAQ,USD,China,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,December,32230600.0,,,,5.48,0.0,0.0,-0.153,6.46,-0.147,-0.3,-0.0738,-0.163,206759000.0,104796000.0,-0.153,0.0,0.121,30.0,-,-,0.156,1.348,0.149,-,0.935,4.75,0.88,1.169,1.733,31598600.0,2018-08-24,2018-08-27,
AACI,2022-03-31,Common Stock,Armada Acquisition Corp I,1844817.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,September,204610000.0,,,,0.044,0.0,0.0,-0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203,0.0,0.0,,-,-,-,-,-,-,,9.99,9.34,9.86,9.83,20709500.0,,,
AACIU,2022-03-31,Common Stock,Armada Acquisition Corp I Unit,1844817.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,September,,,,,0.044,0.0,0.0,-0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.203,0.0,0.0,,-,-,-,-,-,-,,10.53,9.76,9.96,9.95,0.0,,,5.0
AACIW,2021-06-30,Common Stock,Armada Acquisition Corp. I Warrant,1844817.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,0.005,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.67,0.17,0.0,0.0,0.0,,,5.0
AADI,2022-03-31,Common Stock,Aadi Bioscience Inc,1422142.0,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,December,346800000.0,,,,5.95,0.0,0.0,-8.81,0.245,0.0,-14.15,-0.371,-2.22,3307000.0,-18550000.0,-8.81,0.0,18.23,43.5,-,-,104.87,2.411,51.79,-,,49.8,11.0,15.7,21.8,20942000.0,,,
AAIC,2022-03-31,Common Stock,Arlington Asset Investment Corp,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,105005000.0,,,,6.05,0.0,0.0,-0.293,0.375,-0.524,-0.231,-0.0069,-0.027,11790000.0,3755000.0,-0.293,-0.6890000000000001,-0.435,4.5,-,32.15,8.91,0.552,-,-,1.656,4.27,2.88,3.379,3.567,29662500.0,2020-02-03,2019-12-30,
AAIC-P-B,0000-00-00,Common Stock,AAIC-P-B,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAIC-P-C,0000-00-00,Common Stock,AAIC-P-C,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAIN,2022-03-31,Common Stock,AAIN,1209028.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,25.07,22.6,24.51,24.83,0.0,2022-05-01,,
AAL,2022-03-31,Common Stock,American Airlines Group,6201.0,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",December,10535133000.0,4512000000.0,,0.627,0.365,0.0,0.0,-3.671,53.68,-0.0684,-0.1,-0.032,0.0,34773000000.0,1934000000.0,-3.671,0.188,1.22,19.25,-,7.39,0.303,-,1.264,29.04,1.45,24.49,12.44,17.76,18.31,649515000.0,2020-02-19,2020-02-04,
AAM-P-A,0000-00-00,Common Stock,AAM-P-A,,NYSE,USD,USA,TECHNOLOGY,GENERAL,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAM-P-B,0000-00-00,Common Stock,AAM-P-B,,NYSE,USD,USA,TECHNOLOGY,GENERAL,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.0,0.0,0.0,0.0,0.0,,,1.0
AAMC,2022-03-31,Common Stock,Altisource Asset Management Corp,1555074.0,NYSE MKT,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,December,21850900.0,-7291000.0,4.097,0.0,-128.11,0.0,0.0,2.587,-1.998,0.0,0.0,-0.0866,-0.198,-3584000.0,-5635000.0,2.587,-0.982,0.008,,4.097,-,2.367,-,0.727,2.214,1.18,31.89,8.78,11.22,11.43,2061400.0,,,
AAME,2022-03-31,Common Stock,Atlantic American Corporation,8177.0,NASDAQ,USD,USA,FINANCE,LIFE INSURANCE,December,61007000.0,12019000.0,8.52,0.0,6.19,0.02,0.0067,0.351,9.91,0.0374,0.0546,0.0182,0.0582,202087000.0,20364000.0,0.351,-0.784,0.052,,8.52,-,0.302,0.451,0.372,-,0.176,5.67,2.108,3.0410000000000004,3.325,20403600.0,2022-04-27,2022-04-12,
AAN,2022-03-31,Common Stock,Aarons Inc,1821393.0,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",December,567191000.0,802562000.0,6.39,1.35,23.61,0.412,0.0244,2.891,56.55,0.0523,0.117,0.0953,0.129,1820532000.0,1159489000.0,2.891,-0.346,-0.052,27.5,6.39,10.16,0.312,0.763,0.474,1.201,1.998,36.89,17.26,20.25,23.46,30708800.0,2022-07-05,2022-06-15,
AAN-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOI,2022-03-31,Common Stock,Applied Opt,1158114.0,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,62177000.0,-20207000.0,,0.51,8.7,0.0,0.0,-2.01,7.88,-0.255,-0.266,-0.0771,-0.211,214106000.0,37715000.0,-2.01,0.0,0.051,4.3,-,84.03,0.29,0.264,0.865,-,1.74,9.25,2.01,2.738,4.909,27634100.0,,,
AAON,2022-03-31,Common Stock,AAON Inc,824142.0,NASDAQ,USD,USA,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,December,2942267000.0,104774000.0,49.5,2.87,9.05,0.38,0.0069999999999999,1.12,11.46,0.101,0.124,0.0778,0.142,601500000.0,137830000.0,1.12,0.1,0.578,71.0,49.5,-,4.891,5.7,4.677,26.91,0.727,83.5,47.33,52.57,64.48,53071000.0,2022-07-01,2022-06-02,
AAP,2022-03-31,Common Stock,Advance Auto Parts Inc,1158449.0,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,December,11565829000.0,1096417000.0,21.23,1.103,48.05,4.5,0.0314,8.98,175.49,0.0516,0.075,0.0434,0.178,11041829000.0,4931356000.0,8.98,-0.196,0.013,225.76,21.23,14.41,1.048,3.818,1.338,13.33,1.225,242.78,172.86,207.46,217.72,60640000.0,2022-07-01,2022-06-16,
